country,imf_table_a2_targeted_nondistortionary_pct_gdp,imf_table_a2_untargeted_nondistortionary_pct_gdp,imf_table_a2_targeted_distortionary_pct_gdp,imf_table_a2_untargeted_distortionary_pct_gdp,imf_table_a2_total_household_support_pct_gdp,imf_annex_ii_price_measure_types_ea20,program_status,simulated_price_measures_in_programs,coverage_notes
Malta,,,,5.64,5.64,Regulated/subsidized energy prices.,not simulated in current programs,,
France,1.03,0.27,,2.95,4.25,Gas/electricity tariff shields; fuel rebate.,simulated/plotted,"Electricity (CP0451): regulated-price / CRE existing replication for the French tariff shield [existing_france_replication]. | Gas (CP0452): regulated-price / CRE existing replication for the French gas tariff freeze [existing_france_replication]. | Transport fuels (CP0722): French pump fuel discount reconstruction, 18/30/10 cents per litre in 2022 [unit_fuel_rebate_existing_replication].",
Slovakia,1.81,0.13,,2.2,4.14,"Heat, electricity and gas price caps.",identified in Bruegel/program audit; missing statutory schedule or external series,,Pending statuses: needs_statutory_price_schedule
Austria,1.51,1.73,,0.84,4.07,Electricity price cap / block tariff; energy tax reduction.,identified in Bruegel/program audit; missing statutory schedule or external series,,Pending statuses: needs_statutory_price_schedule
Greece,0.56,0.14,0.14,3.21,4.05,Electricity/gas unit subsidies; social tariffs; fuel support.,simulated/plotted,Electricity (CP0451): unit schedule; July 2022 household electricity subsidy: EUR 200/MWh. | August 2022 household electricity subsidy: EUR 337/MWh. | September 2022 household electricity subsidy: EUR 639/MWh. [2022-07 to 2022-09; unit_subsidy_rechained]. | Gas (CP0452): unit schedule; July 2022 natural gas subsidy: EUR 30/MWh. | October 2022 natural gas subsidy: EUR 90/MWh. [2022-07 to 2022-10; unit_subsidy_rechained].,
Lithuania,1.14,0.6,,2.03,3.77,Electricity and gas compensation/subsidy schedules.,simulated/plotted,Electricity (CP0451): maximum statutory unit compensation; Second half 2022: compensation cap of EUR 0.09/kWh above EUR 0.24/kWh. | First half 2023: compensation cap of EUR 0.285/kWh above EUR 0.28/kWh. [2022-07 to 2023-06; unit_subsidy_rechained]. | Gas (CP0452): statutory unit compensation converted from m3; Second half 2022: gas compensation of EUR 0.54/m3 converted with 10.55 kWh/m3. | First half 2023: gas compensation of EUR 0.99/m3 converted with 10.55 kWh/m3. [2022-07 to 2023-06; unit_subsidy_rechained].,
Italy,0.92,0.15,0.0,1.75,2.82,Gas VAT cut; system-charge reductions; social energy bonus; fuel tax measures.,simulated/plotted,"Gas (CP0452): Gas VAT reduction from ordinary 22% to 5%; system-charge reductions/social bonuses not included. [2022-01 to 2023-12; vat_exclusive_rechained]. | Electricity (CP0451): aggregate social-bonus equivalent; EUR 1.313bn / 3.766m bonuses / 2000 kWh, multiplied by an assumed 14.7% eligible-household share. [2022-01 to 2022-12; unit_subsidy_rechained]. | Gas (CP0452): aggregate social-bonus equivalent; EUR 849m / 2.441m bonuses / 10550 kWh, multiplied by an assumed 9.5% eligible-household share. [2022-01 to 2022-12; unit_subsidy_rechained].","Italy social-bonus unit equivalents are plotted tests, not final HICP counterfactuals."
Croatia,0.61,0.07,,2.05,2.73,Gas/heat VAT cut; household electricity and heat caps/block support.,simulated/plotted,Gas (CP0452): VAT reduction on gas from the standard 25% to 5%; heating treatment shown separately when HICP CP0455 is available. [2022-04 to 2023-03; vat_exclusive_rechained]. | Heat energy (CP0455): VAT reduction on heating from the reduced 13% rate to 5%; depends on CP0455 availability. [2022-04 to 2023-03; vat_exclusive_rechained].,
Latvia,0.9,,,1.81,2.71,Electricity OIK/network support; energy compensation including gas/fuels.,identified in Bruegel/program audit; missing statutory schedule or external series,,Pending statuses: needs_consumption_denominator
Netherlands,0.75,0.1,0.14,1.72,2.71,Energy VAT cut; 2023 price cap/block-style support.,simulated/plotted,Electricity (CP0451): VAT reduction on energy from 21% to 9%; 2023 price cap not included. [2022-07 to 2022-12; vat_exclusive_rechained]. | Gas (CP0452): VAT reduction on energy from 21% to 9%; 2023 price cap not included. [2022-07 to 2022-12; vat_exclusive_rechained].,
Portugal,0.96,0.17,0.05,1.49,2.68,Electricity VAT cut; gas/electricity/fuel tax and cap measures.,simulated/plotted,Electricity (CP0451): Electricity VAT reduction from 13% to 6%; threshold/consumption constraints not modelled. [2022-10 to 2023-12; vat_exclusive_rechained].,
Germany,0.4,1.95,,0.19,2.54,Gas VAT cut; gas/electricity price brakes.,simulated/plotted,Gas (CP0452): VAT reduction on gas from 19% to 7%; gas price brake not included. [2022-10 to 2023-12; vat_exclusive_rechained].,
Luxembourg,0.67,0.61,,0.98,2.26,Electricity/gas/fuel price stabilization and VAT/tax measures.,identified in Bruegel/program audit; missing statutory schedule or external series,,Pending statuses: needs_statutory_price_schedule
Estonia,0.53,0.21,,0.97,1.72,Electricity universal service/block tariff; network-fee cuts; energy excise deferrals.,identified in Bruegel/program audit; missing statutory schedule or external series,,Pending statuses: needs_statutory_price_schedule
Belgium,0.17,0.8,,0.66,1.62,VAT/excise cuts; social energy tariffs.,simulated/plotted,Electricity (CP0451): VAT reduction on electricity from 21% to 6%; social tariff not included. [2022-03 to 2023-03; vat_exclusive_rechained]. | Gas (CP0452): VAT reduction on gas from 21% to 6%; social tariff not included. [2022-04 to 2023-03; vat_exclusive_rechained].,
Slovenia,0.23,0.79,,0.53,1.55,Petrol/diesel/heating-oil price regulation.,benchmark excluded,,"Pending statuses: needs_statutory_price_schedule A Slovenia fuel-cap synthetic-neighbour benchmark exists but is marked excluded_by_user, so it is not counted as a final simulated measure."
Spain,0.15,0.0,,1.06,1.22,Electricity VAT/tax cuts; gas VAT cut; fuel rebate; Iberian gas cap/electricity counterfactual.,simulated/plotted,"Electricity (CP0451): Electricity VAT kept/reduced at 10% relative to the normal 21% rate. [2021-09 to 2022-06; vat_exclusive_rechained]. | Electricity (CP0451): Electricity VAT reduction to 5%; modelled against the normal 21% rate. [2022-07 to 2023-06; vat_exclusive_rechained]. | Gas (CP0452): Natural gas and biomass VAT reduction to 5%; biomass is not separately modelled. [2022-10 to 2023-12; vat_exclusive_rechained]. | Electricity (CP0451): Spain retail electricity regression plus IMF-calibrated Iberian cap counterfactual [existing_spain_replication]. | Transport fuels (CP0722): Spain fuel rebate reconstruction, EUR 0.20/litre in Apr-Dec 2022 [unit_fuel_rebate_existing_replication].",
Ireland,0.18,0.73,,0.2,1.11,Electricity and gas VAT cuts.,simulated/plotted,Electricity (CP0451): VAT reduction on electricity from 13.5% to 9%. [2022-05 to 2023-09; vat_exclusive_rechained]. | Gas (CP0452): VAT reduction on gas from 13.5% to 9%. [2022-05 to 2023-09; vat_exclusive_rechained].,
Cyprus,0.18,0.14,0.34,0.1,0.76,Electricity VAT cut and tariff subsidies; fuel/heating-fuel excise cut.,simulated/plotted,Electricity (CP0451): Household electricity VAT reduction from 19% to 9%; vulnerable 5% rate not separately modelled. [2021-11 to 2022-08; vat_exclusive_rechained].,
Finland,0.21,0.02,,0.25,0.47,Electricity VAT cut; biofuel obligation/fuel-price measure.,simulated/plotted,Electricity (CP0451): Temporary electricity VAT reduction from 24% to 10%. [2023-01 to 2023-04; vat_exclusive_rechained].,
